ensayo mejor peor media sdt mediana
1 10.462385 1446942421879.218018 36173727404.750885 228781657755.429810 10.486121
2 8.413344 10098376994141569024.000000 252799552609977408.000000 1596639607503009024.000000 8.413344
3 11.105216 21841060826618245120.000000 547914997465081664.000000 3453086299296393728.000000 11.128023
4 8.412730 60734914866140.625000 1518373198494.681641 9603033170668.259766 8.412730
5 8.415128 4993030248212832.000000 124825756213375.328125 789467400522114.750000 8.415129
6 8.418823 19492692262129544.000000 645887795940859.000000 3216581916849926.000000 8.418823
7 8.954099 13306780366996649984.000000 627295351740238464.000000 2774505937877971968.000000 8.958998
8 9.159752 27643842376863322112.000000 893475119638234368.000000 4495747426658196480.000000 9.160082
9 8.413241 61608042877444898816.000000 1540600064646066176.000000 9741022506658514944.000000 8.413241
10 8.523267 19647552753663655936.000000 491188818841807680.000000 3106550857494479872.000000 8.523752
